Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
6,100,1,1870,0.53475934
38,100,1,10773,0.09282465
26,100,1,10804,0.09255832
29,100,1,10787,0.092704184
45,100,1,12368,0.08085382
46,100,1,13876,0.07206687
23,100,1,20910,0.047824007
48,100,1,23093,0.04330316
24,100,1,29912,0.0334314
47,100,1,33666,0.02970356
20,100,1,37498,0.026668089
34,100,1,37936,0.026360186
22,100,1,41956,0.023834493
15,100,1,44769,0.022336883
7,100,1,46187,0.021651115
49,100,1,46712,0.021407776
42,100,1,47773,0.020932326
61,100,1,48736,0.020518713
16,100,1,51119,0.019562198
19,100,1,52059,0.019208973
21,100,1,54547,0.018332813
8,100,1,55190,0.018119225
30,100,1,55235,0.018104464
14,100,1,56237,0.017781887
54,100,1,56769,0.017615248
5,100,1,57474,0.017399171
60,100,1,57664,0.017341843
44,100,1,58174,0.01718981
4,100,1,58455,0.017107178
64,100,1,58682,0.017041
25,100,1,59064,0.016930787
18,100,1,59366,0.016844658
12,100,1,59510,0.016803898
10,100,1,59764,0.016732482
33,100,1,59834,0.016712906
28,100,1,60024,0.016660003
27,100,1,60491,0.016531385
63,100,1,60528,0.016521279
52,100,1,60604,0.01650056
43,100,1,60880,0.016425757
41,100,1,61038,0.016383238
55,100,1,61091,0.016369024
57,100,1,61338,0.016303107
53,100,1,61447,0.016274188
35,100,1,61701,0.016207192
62,100,1,61650,0.0162206
59,100,1,61786,0.016184896
32,100,1,61871,0.016162662
13,100,1,61981,0.016133975
9,100,1,62091,0.016105395
50,100,1,61984,0.016133195
31,100,1,62087,0.01610643
37,100,1,62074,0.016109806
51,100,1,62111,0.016100207
17,100,1,62256,0.01606271
56,100,1,62153,0.01608933
36,100,1,62238,0.016067354
11,100,1,62477,0.01600589
2,100,1,62773,0.015930416
3,100,1,62810,0.015921032
1,100,1,62854,0.015909888
40,100,1,62772,0.01593067
39,100,1,62832,0.015915457
