Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
4,10000,3,31562,0.095051005
24,10000,3,41051,0.073079824
27,10000,3,45807,0.065492176
23,10000,3,46345,0.0647319
12,10000,3,53978,0.0555782
15,10000,3,57919,0.051796474
25,10000,3,59863,0.050114427
29,10000,3,60463,0.04961712
31,10000,3,66372,0.045199785
2,10000,3,71015,0.042244595
7,10000,3,72822,0.041196343
11,10000,3,73659,0.04072822
5,10000,3,74887,0.040060356
8,10000,3,76579,0.03917523
26,10000,3,77515,0.038702186
21,10000,3,78893,0.038026188
28,10000,3,79800,0.037593987
19,10000,3,80040,0.03748126
16,10000,3,80609,0.037216686
18,10000,3,82245,0.03647638
30,10000,3,82562,0.03633633
10,10000,3,82915,0.036181632
9,10000,3,82987,0.03615024
22,10000,3,84955,0.035312813
3,10000,3,85039,0.035277933
20,10000,3,85049,0.035273783
14,10000,3,86364,0.034736697
1,10000,3,87203,0.034402486
32,10000,3,88542,0.033882223
13,10000,3,88909,0.033742364
17,10000,3,90440,0.033171162
6,10000,3,90582,0.03311916
