Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
4,1000,3,12022,0.2495425
12,1000,3,12706,0.23610893
24,1000,3,14821,0.2024155
18,1000,3,15864,0.1891074
26,1000,3,18636,0.16097876
16,1000,3,19280,0.15560167
3,1000,3,19801,0.1515075
2,1000,3,22703,0.13214113
9,1000,3,24190,0.124018185
6,1000,3,25069,0.11966971
5,1000,3,25425,0.1179941
13,1000,3,26092,0.11497778
23,1000,3,26251,0.114281364
14,1000,3,26458,0.11338726
20,1000,3,26555,0.11297307
17,1000,3,26987,0.11116464
31,1000,3,28975,0.10353753
21,1000,3,29069,0.10320272
25,1000,3,29518,0.10163291
19,1000,3,29775,0.10075566
30,1000,3,29874,0.10042177
29,1000,3,30191,0.09936736
22,1000,3,30856,0.09722582
11,1000,3,31331,0.095751815
28,1000,3,31653,0.09477775
27,1000,3,32080,0.09351621
32,1000,3,32516,0.09226227
7,1000,3,32544,0.09218289
15,1000,3,33225,0.09029345
1,1000,3,33862,0.08859488
8,1000,3,34132,0.08789405
10,1000,3,34266,0.08755034
