Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,10000,6,17559,0.3417051
5,10000,6,18843,0.31842065
6,10000,6,22554,0.2660282
10,10000,6,23481,0.25552574
8,10000,6,27645,0.21703744
14,10000,6,28850,0.20797227
11,10000,6,31979,0.18762313
15,10000,6,34836,0.17223562
7,10000,6,38757,0.15481074
3,10000,6,39016,0.15378307
2,10000,6,40569,0.14789619
13,10000,6,41677,0.14396429
9,10000,6,42003,0.14284694
16,10000,6,42936,0.13974287
4,10000,6,43350,0.1384083
1,10000,6,44122,0.13598658
