Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
9,100000,6,96975,0.061871614
10,100000,6,112081,0.053532712
11,100000,6,131548,0.045610726
13,100000,6,131714,0.04555324
6,100000,6,148837,0.040312555
7,100000,6,149921,0.040021077
2,100000,6,153812,0.039008662
8,100000,6,159043,0.037725646
15,100000,6,162948,0.036821563
12,100000,6,164559,0.036461085
1,100000,6,171426,0.035000525
16,100000,6,172442,0.034794305
14,100000,6,177426,0.033816915
3,100000,6,182903,0.032804273
4,100000,6,183419,0.03271199
5,100000,6,184326,0.032551024
