Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
21,100000,3,253920,0.011814744
28,100000,3,360772,0.008315501
15,100000,3,393556,0.0076228036
24,100000,3,436986,0.0068652085
6,100000,3,450864,0.006653891
30,100000,3,460438,0.006515535
14,100000,3,464545,0.0064579323
3,100000,3,474050,0.0063284463
26,100000,3,478690,0.006267104
17,100000,3,481796,0.0062267017
29,100000,3,483498,0.0062047825
11,100000,3,488647,0.0061394013
16,100000,3,492399,0.00609262
4,100000,3,493960,0.0060733664
12,100000,3,494991,0.006060716
18,100000,3,501245,0.005985097
8,100000,3,501803,0.0059784413
25,100000,3,504571,0.005945645
20,100000,3,507389,0.0059126234
22,100000,3,509860,0.0058839684
23,100000,3,510033,0.005881972
9,100000,3,510214,0.0058798855
13,100000,3,513723,0.005839723
32,100000,3,514408,0.0058319466
31,100000,3,514767,0.005827879
10,100000,3,515452,0.0058201347
5,100000,3,520904,0.0057592187
19,100000,3,522309,0.0057437266
2,100000,3,522710,0.00573932
27,100000,3,522792,0.00573842
1,100000,3,525951,0.005703953
7,100000,3,526107,0.0057022623
