Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
3,10,3,1261,2.3790643
11,10,3,1706,1.7584994
5,10,3,3815,0.7863696
32,10,3,3876,0.7739938
23,10,3,5819,0.5155525
12,10,3,5870,0.5110733
24,10,3,7502,0.39989334
22,10,3,7575,0.3960396
28,10,3,8070,0.37174723
13,10,3,8185,0.36652413
9,10,3,10301,0.29123387
17,10,3,10912,0.2749267
14,10,3,11130,0.26954177
20,10,3,11482,0.26127854
6,10,3,11992,0.25016677
10,10,3,11964,0.25075227
2,10,3,12096,0.24801588
8,10,3,12534,0.23934898
21,10,3,12457,0.24082845
15,10,3,13182,0.22758307
27,10,3,13215,0.22701475
30,10,3,13305,0.22547914
16,10,3,13516,0.22195916
18,10,3,13610,0.22042616
4,10,3,13999,0.21430102
26,10,3,13874,0.2162318
31,10,3,13964,0.21483816
19,10,3,14152,0.21198417
29,10,3,14230,0.21082221
25,10,3,14296,0.20984891
7,10,3,14515,0.20668274
1,10,3,14605,0.2054091
