Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
25,10000,1,10187,0.09816433
10,10000,1,35025,0.028551035
53,10000,1,41612,0.02403153
23,10000,1,52019,0.019223746
48,10000,1,63821,0.015668824
34,10000,1,75203,0.013297342
24,10000,1,83704,0.011946861
47,10000,1,93183,0.010731571
15,10000,1,106698,0.009372246
43,10000,1,117124,0.008537959
40,10000,1,128108,0.0078059137
56,10000,1,138006,0.0072460617
45,10000,1,147990,0.0067572133
46,10000,1,157646,0.006343326
21,10000,1,163613,0.0061119837
12,10000,1,169369,0.005904268
64,10000,1,171230,0.0058400985
61,10000,1,175742,0.0056901593
41,10000,1,181359,0.005513925
50,10000,1,187570,0.005331343
31,10000,1,190656,0.0052450486
11,10000,1,194222,0.0051487475
18,10000,1,199403,0.0050149695
44,10000,1,200131,0.004996727
5,10000,1,204261,0.0048956973
22,10000,1,205938,0.00485583
55,10000,1,208357,0.004799455
20,10000,1,209815,0.0047661033
6,10000,1,211502,0.0047280877
39,10000,1,211692,0.004723844
37,10000,1,212816,0.004698895
63,10000,1,213534,0.004683095
8,10000,1,215314,0.0046443795
60,10000,1,215603,0.004638154
62,10000,1,216244,0.004624406
27,10000,1,216962,0.0046091024
32,10000,1,217792,0.0045915367
9,10000,1,218377,0.0045792367
19,10000,1,218793,0.0045705303
59,10000,1,218804,0.0045703007
30,10000,1,219372,0.004558467
35,10000,1,219777,0.0045500663
38,10000,1,219985,0.0045457645
16,10000,1,220375,0.00453772
7,10000,1,220569,0.0045337286
13,10000,1,220782,0.0045293546
36,10000,1,220913,0.0045266687
29,10000,1,221730,0.0045099896
49,10000,1,221790,0.0045087696
26,10000,1,222038,0.0045037335
54,10000,1,222024,0.0045040175
33,10000,1,222288,0.004498668
4,10000,1,222442,0.004495554
52,10000,1,222329,0.0044978387
2,10000,1,222570,0.0044929683
58,10000,1,222424,0.004495918
1,10000,1,222625,0.004491858
14,10000,1,222710,0.004490144
17,10000,1,222735,0.0044896402
51,10000,1,222746,0.0044894186
28,10000,1,222842,0.0044874847
42,10000,1,222973,0.004484848
3,10000,1,223105,0.0044821943
57,10000,1,223049,0.00448332
