Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
55,100000,1,53735,0.018609844
3,100000,1,98026,0.010201376
38,100000,1,152691,0.0065491744
28,100000,1,195789,0.0051075392
13,100000,1,243472,0.0041072485
5,100000,1,280273,0.0035679499
17,100000,1,334441,0.0029900642
51,100000,1,375826,0.0026608058
61,100000,1,411765,0.0024285696
24,100000,1,451532,0.0022146823
8,100000,1,488532,0.0020469488
19,100000,1,539789,0.0018525757
18,100000,1,592656,0.0016873195
64,100000,1,621490,0.0016090363
45,100000,1,662522,0.0015093839
36,100000,1,690447,0.0014483371
22,100000,1,718668,0.0013914631
62,100000,1,736257,0.0013582214
25,100000,1,767999,0.001302085
57,100000,1,791629,0.001263218
50,100000,1,812582,0.001230645
43,100000,1,839216,0.0011915884
23,100000,1,862796,0.0011590226
6,100000,1,882852,0.0011326927
31,100000,1,900002,0.0011111087
26,100000,1,916593,0.0010909968
63,100000,1,932458,0.0010724344
59,100000,1,945210,0.0010579659
54,100000,1,958422,0.0010433818
9,100000,1,970602,0.0010302884
10,100000,1,980448,0.0010199419
47,100000,1,991963,0.0010081021
53,100000,1,1003731,9.962829E-4
16,100000,1,1014971,9.852498E-4
4,100000,1,1027829,9.7292446E-4
20,100000,1,1041460,9.601905E-4
1,100000,1,1051664,9.5087406E-4
35,100000,1,1058678,9.4457425E-4
15,100000,1,1064643,9.39282E-4
48,100000,1,1068552,9.358459E-4
33,100000,1,1072876,9.3207415E-4
34,100000,1,1078854,9.269095E-4
52,100000,1,1080052,9.258814E-4
42,100000,1,1082099,9.2412985E-4
46,100000,1,1083973,9.2253217E-4
32,100000,1,1085511,9.212251E-4
12,100000,1,1086493,9.203925E-4
40,100000,1,1087740,9.193374E-4
39,100000,1,1088777,9.1846177E-4
27,100000,1,1089504,9.1784884E-4
30,100000,1,1090019,9.174152E-4
56,100000,1,1090468,9.170375E-4
21,100000,1,1091346,9.162997E-4
60,100000,1,1091718,9.159875E-4
7,100000,1,1092503,9.1532926E-4
37,100000,1,1092458,9.1536704E-4
41,100000,1,1093301,9.146612E-4
44,100000,1,1093604,9.144078E-4
11,100000,1,1094007,9.1407093E-4
29,100000,1,1093978,9.1409514E-4
49,100000,1,1094377,9.137619E-4
58,100000,1,1094417,9.137285E-4
14,100000,1,1094640,9.1354235E-4
2,100000,1,1094814,9.133972E-4
