Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
16,1000,1,16566,0.060364604
13,1000,1,22912,0.04364525
43,1000,1,28505,0.035081565
31,1000,1,35020,0.02855511
46,1000,1,40778,0.024523027
48,1000,1,46914,0.021315599
15,1000,1,54622,0.018307641
61,1000,1,55737,0.017941404
47,1000,1,61221,0.016334265
24,1000,1,64847,0.015420914
63,1000,1,65777,0.015202883
37,1000,1,70207,0.014243593
5,1000,1,74300,0.01345895
44,1000,1,74541,0.013415436
36,1000,1,77669,0.01287515
26,1000,1,79692,0.012548311
45,1000,1,81469,0.012274608
51,1000,1,83688,0.011949144
34,1000,1,85516,0.011693718
54,1000,1,87581,0.011418002
7,1000,1,90961,0.010993723
12,1000,1,93610,0.010682619
4,1000,1,95352,0.010487457
56,1000,1,95279,0.010495492
17,1000,1,95796,0.010438849
29,1000,1,96188,0.010396307
57,1000,1,96342,0.010379689
23,1000,1,96670,0.010344471
25,1000,1,98505,0.010151769
14,1000,1,98915,0.01010969
58,1000,1,98935,0.010107647
62,1000,1,99264,0.010074145
11,1000,1,99812,0.010018836
8,1000,1,100498,0.009950447
53,1000,1,100492,0.009951041
35,1000,1,100858,0.00991493
19,1000,1,101152,0.009886112
39,1000,1,101493,0.009852896
28,1000,1,101743,0.009828687
27,1000,1,101846,0.009818746
21,1000,1,101911,0.009812484
3,1000,1,102542,0.009752101
42,1000,1,102424,0.009763337
33,1000,1,102654,0.009741461
20,1000,1,102833,0.009724504
18,1000,1,102902,0.009717984
64,1000,1,103040,0.009704969
22,1000,1,103206,0.009689359
32,1000,1,103234,0.009686731
50,1000,1,103504,0.009661462
30,1000,1,103740,0.009639483
10,1000,1,103887,0.009625844
40,1000,1,103993,0.009616032
9,1000,1,104009,0.009614552
49,1000,1,104104,0.009605779
38,1000,1,104216,0.009595456
41,1000,1,104198,0.009597113
59,1000,1,104193,0.009597573
2,1000,1,104426,0.009576159
1,1000,1,104415,0.009577168
60,1000,1,104293,0.009588372
52,1000,1,104432,0.009575608
6,1000,1,104955,0.009527893
55,1000,1,104956,0.009527802
