Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
4,10,1,77,12.987013
14,10,1,130,7.6923075
10,10,1,1720,0.5813953
19,10,1,1668,0.5995204
23,10,1,1687,0.59276825
24,10,1,1695,0.58997047
15,10,1,1637,0.6108736
17,10,1,2432,0.41118422
58,10,1,2350,0.4255319
50,10,1,2332,0.42881647
12,10,1,2498,0.40032026
22,10,1,2994,0.33400136
60,10,1,2941,0.3400204
42,10,1,2978,0.33579582
6,10,1,4695,0.21299255
54,10,1,5004,0.19984013
37,10,1,5564,0.17972682
38,10,1,5671,0.17633574
43,10,1,5803,0.17232466
39,10,1,5797,0.17250301
40,10,1,6287,0.15905838
49,10,1,6404,0.15615241
61,10,1,7001,0.14283673
45,10,1,7041,0.14202528
33,10,1,7034,0.14216663
21,10,1,7352,0.13601741
47,10,1,7611,0.13138878
48,10,1,7667,0.1304291
59,10,1,7583,0.13187392
57,10,1,8105,0.123380624
32,10,1,8203,0.121906616
64,10,1,8132,0.122970976
46,10,1,8547,0.11700012
51,10,1,9935,0.10065425
44,10,1,10118,0.09883376
35,10,1,10645,0.09394082
3,10,1,11275,0.0886918
55,10,1,11226,0.089078926
8,10,1,11916,0.08392078
5,10,1,12365,0.08087343
1,10,1,12545,0.07971303
56,10,1,12373,0.08082114
13,10,1,12809,0.07807011
20,10,1,12828,0.07795447
16,10,1,12900,0.07751938
30,10,1,13153,0.07602829
28,10,1,13236,0.075551525
34,10,1,13230,0.07558579
9,10,1,13416,0.074537866
11,10,1,13334,0.07499625
25,10,1,13296,0.07521059
7,10,1,13553,0.0737844
26,10,1,13578,0.07364855
63,10,1,13429,0.07446571
62,10,1,13522,0.07395356
18,10,1,13676,0.073120795
29,10,1,13689,0.073051356
27,10,1,13686,0.073067375
53,10,1,13591,0.0735781
41,10,1,13706,0.07296075
31,10,1,13682,0.073088735
36,10,1,13759,0.0726797
52,10,1,13877,0.07206169
2,10,1,14187,0.07048707
