Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
6,1000,62,91406,0.67829245
7,1000,62,155626,0.398391
10,1000,62,218171,0.28418073
14,1000,62,230882,0.26853547
12,1000,62,231447,0.2678799
16,1000,62,238496,0.25996244
11,1000,62,254724,0.24340071
5,1000,62,276268,0.22441977
3,1000,62,285998,0.21678473
1,1000,62,291222,0.212896
15,1000,62,302107,0.2052253
13,1000,62,304128,0.20386153
8,1000,62,303952,0.20397958
2,1000,62,311741,0.19888304
9,1000,62,316156,0.19610572
4,1000,62,318763,0.19450188
