Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
6,10000,62,285778,0.21695162
12,10000,62,329076,0.18840632
14,10000,62,330446,0.1876252
11,10000,62,404040,0.15345015
8,10000,62,429921,0.14421253
13,10000,62,441769,0.14034484
10,10000,62,461434,0.13436374
16,10000,62,464085,0.13359621
7,10000,62,493831,0.12554902
2,10000,62,527803,0.117468074
3,10000,62,531792,0.11658694
5,10000,62,543881,0.11399553
15,10000,62,544187,0.113931425
9,10000,62,560654,0.11058514
1,10000,62,571007,0.108580105
4,10000,62,579774,0.10693822
