Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,100000,100,969039,0.10319503
6,100000,100,1156243,0.08648701
11,100000,100,1330752,0.075145476
10,100000,100,1399744,0.071441635
8,100000,100,1416398,0.07060162
9,100000,100,1797900,0.055620447
4,100000,100,1799974,0.055556357
15,100000,100,2036466,0.049104676
5,100000,100,2170231,0.04607804
3,100000,100,2186202,0.045741428
13,100000,100,2188750,0.04568818
16,100000,100,2235752,0.04472768
2,100000,100,2286841,0.043728445
14,100000,100,2475799,0.040391
7,100000,100,2514279,0.03977283
1,100000,100,2534484,0.039455764
