Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,100,100,187337,0.5337974
12,100,100,200710,0.49823126
11,100,100,422398,0.23674355
23,100,100,454493,0.22002539
14,100,100,562552,0.17776135
22,100,100,662572,0.15092699
30,100,100,674025,0.14836246
8,100,100,776725,0.1287457
5,100,100,777540,0.12861075
10,100,100,821861,0.121675074
20,100,100,830587,0.12039678
13,100,100,836347,0.119567595
9,100,100,875991,0.11415642
17,100,100,910962,0.10977406
7,100,100,921136,0.108561605
18,100,100,930752,0.10744001
2,100,100,933625,0.10710939
25,100,100,941317,0.10623414
26,100,100,976105,0.102447994
31,100,100,983523,0.1016753
29,100,100,985455,0.10147597
6,100,100,993495,0.10065476
28,100,100,1001503,0.099849924
4,100,100,1007178,0.099287316
15,100,100,1010068,0.09900323
16,100,100,1021649,0.097880974
3,100,100,1022755,0.097775124
32,100,100,1024337,0.09762412
27,100,100,1024453,0.09761307
21,100,100,1031370,0.09695841
19,100,100,1033123,0.0967939
1,100,100,1034335,0.09668047
