Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,1000,100,3080802,0.03245908
46,1000,100,4255615,0.023498366
48,1000,100,4639066,0.021556063
23,1000,100,5602489,0.01784921
47,1000,100,7115661,0.014053509
22,1000,100,8228743,0.012152525
8,1000,100,14019086,0.007133133
57,1000,100,16503869,0.006059185
16,1000,100,16540905,0.0060456186
29,1000,100,16841070,0.005937865
21,1000,100,16889236,0.005920931
45,1000,100,16919318,0.0059104036
53,1000,100,17039883,0.0058685844
42,1000,100,17354819,0.005762088
5,1000,100,17604836,0.0056802575
13,1000,100,17783098,0.005623317
56,1000,100,17970161,0.0055647804
37,1000,100,18252046,0.005478838
61,1000,100,18483470,0.0054102396
40,1000,100,18637957,0.0053653955
7,1000,100,18877261,0.005297379
10,1000,100,19171852,0.00521598
18,1000,100,19229259,0.005200408
62,1000,100,19292188,0.0051834453
52,1000,100,19316745,0.0051768557
60,1000,100,19515431,0.00512415
64,1000,100,19525437,0.005121525
55,1000,100,19543032,0.005116913
28,1000,100,19564514,0.005111295
12,1000,100,19606186,0.0051004314
31,1000,100,19608973,0.0050997064
4,1000,100,19681246,0.005080979
63,1000,100,19777718,0.0050561954
30,1000,100,19810961,0.005047711
59,1000,100,19827992,0.005043375
43,1000,100,19834308,0.005041769
32,1000,100,19854068,0.0050367513
15,1000,100,19859463,0.005035382
27,1000,100,19898864,0.0050254124
58,1000,100,19899951,0.0050251377
34,1000,100,19940080,0.0050150254
9,1000,100,19966251,0.005008451
17,1000,100,19976199,0.005005957
26,1000,100,20007738,0.0049980665
54,1000,100,20042454,0.004989409
39,1000,100,20051752,0.0049870955
49,1000,100,20062929,0.0049843173
50,1000,100,20074025,0.004981562
33,1000,100,20074414,0.004981465
38,1000,100,20074963,0.0049813287
51,1000,100,20097792,0.004975671
6,1000,100,20105072,0.0049738693
44,1000,100,20113893,0.004971688
19,1000,100,20122029,0.0049696784
20,1000,100,20136096,0.004966206
2,1000,100,20143951,0.004964269
25,1000,100,20146624,0.004963611
14,1000,100,20147284,0.0049634483
36,1000,100,20175679,0.0049564624
11,1000,100,20181899,0.004954935
41,1000,100,20184283,0.0049543497
1,1000,100,20188812,0.0049532386
3,1000,100,20189930,0.004952964
35,1000,100,20191625,0.004952549
