Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,10,100,116563,0.8579052
12,10,100,129981,0.76934326
23,10,100,177962,0.5619177
11,10,100,185272,0.53974694
10,10,100,388308,0.25752753
28,10,100,399499,0.25031352
17,10,100,405676,0.24650215
6,10,100,428858,0.23317741
27,10,100,435366,0.22969179
20,10,100,435834,0.22944516
8,10,100,440809,0.22685562
9,10,100,451319,0.22157277
5,10,100,459487,0.21763402
19,10,100,465363,0.21488601
30,10,100,476799,0.20973198
2,10,100,492745,0.20294474
4,10,100,512454,0.19513947
13,10,100,518532,0.19285212
15,10,100,531551,0.18812871
7,10,100,536316,0.18645725
22,10,100,536459,0.18640754
29,10,100,541298,0.18474112
21,10,100,542189,0.18443754
3,10,100,542209,0.18443073
14,10,100,542481,0.18433824
16,10,100,567595,0.17618196
18,10,100,567940,0.17607494
31,10,100,576412,0.17348702
25,10,100,577310,0.17321716
26,10,100,578468,0.17287041
32,10,100,579378,0.17259888
1,10,100,580301,0.17232436
