Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,100,100,3298883,0.03031329
48,100,100,3857205,0.025925508
23,100,100,4557985,0.021939518
46,100,100,5134012,0.019477945
47,100,100,6800133,0.014705595
22,100,100,7346898,0.013611186
37,100,100,10126868,0.009874721
16,100,100,10930276,0.0091489
45,100,100,11297258,0.008851705
8,100,100,11730865,0.00852452
21,100,100,12932075,0.0077327113
42,100,100,13113058,0.0076259864
40,100,100,13283665,0.007528043
13,100,100,13396488,0.0074646426
5,100,100,13464089,0.0074271644
56,100,100,13720434,0.007288399
54,100,100,13775195,0.0072594252
59,100,100,14098071,0.0070931693
61,100,100,14103756,0.0070903096
15,100,100,14222603,0.0070310617
58,100,100,14407387,0.006940884
29,100,100,14447128,0.006921791
26,100,100,14657431,0.006822478
34,100,100,14687378,0.0068085673
4,100,100,14716584,0.0067950552
62,100,100,14734543,0.006786773
7,100,100,14737942,0.006785208
38,100,100,14778261,0.006766696
12,100,100,14838260,0.0067393347
57,100,100,14844781,0.0067363745
18,100,100,14856129,0.0067312284
32,100,100,14943615,0.006691821
31,100,100,14946539,0.0066905124
49,100,100,14990542,0.006670873
39,100,100,14998993,0.0066671143
27,100,100,15037448,0.0066500646
53,100,100,15048539,0.0066451635
30,100,100,15100876,0.0066221324
10,100,100,15115686,0.006615644
28,100,100,15186721,0.0065846997
55,100,100,15187430,0.0065843924
63,100,100,15205398,0.0065766117
50,100,100,15213034,0.0065733106
60,100,100,15213401,0.0065731523
14,100,100,15224111,0.0065685282
51,100,100,15230874,0.0065656113
52,100,100,15235492,0.0065636216
33,100,100,15238217,0.0065624476
25,100,100,15258200,0.006553853
20,100,100,15268761,0.00654932
17,100,100,15272256,0.006547821
35,100,100,15278146,0.006545297
64,100,100,15293635,0.006538668
11,100,100,15296826,0.006537304
6,100,100,15310945,0.006531276
9,100,100,15313967,0.0065299864
44,100,100,15326580,0.0065246127
36,100,100,15328540,0.0065237787
19,100,100,15331533,0.006522505
43,100,100,15332663,0.006522024
3,100,100,15336417,0.0065204278
41,100,100,15344028,0.0065171933
2,100,100,15345041,0.0065167635
1,100,100,15345708,0.00651648
