Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,10000,100,535963,0.18658005
12,10000,100,599337,0.16685104
11,10000,100,1265951,0.078992
27,10000,100,1377145,0.07261399
30,10000,100,1410227,0.070910566
28,10000,100,1549727,0.06452749
31,10000,100,1652916,0.060499143
17,10000,100,1729560,0.05781817
29,10000,100,1841062,0.054316476
16,10000,100,1869367,0.053494044
2,10000,100,1936696,0.05163433
13,10000,100,1939110,0.051570047
32,10000,100,2052553,0.048719812
8,10000,100,2127484,0.04700388
6,10000,100,2133989,0.046860598
26,10000,100,2166880,0.046149302
21,10000,100,2198687,0.04548169
19,10000,100,2213276,0.045181893
15,10000,100,2255751,0.044331133
5,10000,100,2264119,0.044167288
4,10000,100,2268933,0.044073578
20,10000,100,2313901,0.04321706
25,10000,100,2314832,0.043199677
14,10000,100,2330557,0.0429082
18,10000,100,2338493,0.04276258
22,10000,100,2352710,0.042504176
23,10000,100,2391127,0.041821282
10,10000,100,2398962,0.041684695
7,10000,100,2405990,0.041562933
3,10000,100,2406993,0.04154561
1,10000,100,2412245,0.041455157
9,10000,100,2421703,0.041293256
