Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
6,10000,100,276790,0.36128473
12,10000,100,396578,0.2521572
2,10000,100,594531,0.1681998
11,10000,100,603899,0.16559061
10,10000,100,647803,0.15436792
7,10000,100,656068,0.15242322
15,10000,100,662319,0.15098464
13,10000,100,716523,0.13956286
4,10000,100,760053,0.13156977
8,10000,100,764452,0.13081266
5,10000,100,800286,0.124955334
14,10000,100,802309,0.124640256
16,10000,100,813409,0.122939385
1,10000,100,814088,0.12283685
3,10000,100,816162,0.12252469
9,10000,100,821901,0.12166915
