Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,100000,100,3388393,0.029512515
23,100000,100,3798064,0.026329204
11,100000,100,3910764,0.02557045
24,100000,100,4298580,0.023263495
25,100000,100,4736094,0.021114444
32,100000,100,5504678,0.018166367
26,100000,100,5539523,0.018052097
20,100000,100,5682347,0.017598363
29,100000,100,5964684,0.016765347
21,100000,100,6368238,0.01570293
30,100000,100,6486246,0.015417238
22,100000,100,6640282,0.0150596015
16,100000,100,6771649,0.014767452
17,100000,100,6808041,0.014688513
14,100000,100,6852046,0.014594181
6,100000,100,6962609,0.014362432
5,100000,100,7007979,0.014269449
31,100000,100,7092774,0.014098856
19,100000,100,7153598,0.01397898
13,100000,100,7352867,0.013600137
18,100000,100,7354651,0.013596838
10,100000,100,7400416,0.013512754
7,100000,100,7468256,0.0133900065
28,100000,100,7611240,0.013138464
27,100000,100,7926309,0.012616213
9,100000,100,7959936,0.012562915
8,100000,100,7972871,0.012542533
3,100000,100,8063516,0.012401538
2,100000,100,8067642,0.012395196
15,100000,100,8105610,0.012337134
4,100000,100,8115558,0.012322011
1,100000,100,8150499,0.012269187
