Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
6,100,100,113062,0.88447046
12,100,100,135472,0.73815995
11,100,100,198648,0.503403
15,100,100,206000,0.48543692
7,100,100,214034,0.46721548
8,100,100,276162,0.3621063
13,100,100,281341,0.35544053
4,100,100,284581,0.3513938
10,100,100,288659,0.34642953
1,100,100,294171,0.33993834
14,100,100,295692,0.33818975
5,100,100,300820,0.3324247
3,100,100,309283,0.3233285
9,100,100,312695,0.31980047
2,100,100,312762,0.31973195
16,100,100,313457,0.31902304
