Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,1000,100,223321,0.4477859
24,1000,100,254141,0.39348236
23,1000,100,301676,0.33148146
30,1000,100,689761,0.14497775
32,1000,100,752687,0.13285735
11,1000,100,756413,0.13220291
22,1000,100,776747,0.12874204
14,1000,100,843424,0.11856433
5,1000,100,952616,0.10497409
16,1000,100,975338,0.10252856
21,1000,100,981493,0.1018856
8,1000,100,1004206,0.09958117
31,1000,100,1010636,0.09894759
13,1000,100,1049112,0.095318705
28,1000,100,1061186,0.09423418
25,1000,100,1073866,0.09312149
27,1000,100,1086994,0.091996826
20,1000,100,1090352,0.0917135
26,1000,100,1092968,0.09149399
17,1000,100,1108074,0.09024668
6,1000,100,1137544,0.087908685
29,1000,100,1137826,0.0878869
15,1000,100,1165028,0.08583485
10,1000,100,1169323,0.08551957
9,1000,100,1178212,0.08487437
2,1000,100,1195825,0.08362427
18,1000,100,1197429,0.083512254
19,1000,100,1200259,0.08331535
7,1000,100,1204667,0.08301049
4,1000,100,1205406,0.0829596
3,1000,100,1213840,0.08238318
1,1000,100,1216690,0.08219021
