Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,1000,100,136459,0.7328208
6,1000,100,150375,0.66500413
15,1000,100,288889,0.3461537
11,1000,100,290047,0.3447717
16,1000,100,321196,0.3113364
8,1000,100,324394,0.30826712
2,1000,100,347343,0.28789985
3,1000,100,353197,0.2831281
10,1000,100,361912,0.27631027
13,1000,100,365819,0.27335924
14,1000,100,379216,0.26370195
9,1000,100,380329,0.26293027
4,1000,100,383283,0.2609038
7,1000,100,387590,0.25800458
5,1000,100,388646,0.25730357
1,1000,100,390225,0.2562624
