Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,100000,16,5356281,0.002987147
48,100000,16,7063322,0.002265223
64,100000,16,19684108,8.1283844E-4
20,100000,16,20365708,7.856344E-4
29,100000,16,21251205,7.528985E-4
27,100000,16,21370397,7.486993E-4
31,100000,16,21519262,7.435199E-4
30,100000,16,21678632,7.3805393E-4
12,100000,16,21929924,7.295967E-4
61,100000,16,22133692,7.2287983E-4
63,100000,16,22309932,7.171694E-4
36,100000,16,22605872,7.077807E-4
7,100000,16,22717676,7.042974E-4
33,100000,16,22794791,7.019147E-4
18,100000,16,23185650,6.9008203E-4
8,100000,16,23278236,6.873373E-4
51,100000,16,23284397,6.8715547E-4
58,100000,16,23352886,6.8514014E-4
10,100000,16,23411118,6.83436E-4
43,100000,16,23483551,6.8132795E-4
38,100000,16,23682379,6.756078E-4
17,100000,16,23733168,6.74162E-4
28,100000,16,23746743,6.737766E-4
60,100000,16,23773414,6.730207E-4
47,100000,16,23780762,6.7281275E-4
6,100000,16,23876178,6.70124E-4
46,100000,16,23898160,6.695076E-4
55,100000,16,23953378,6.679642E-4
44,100000,16,23959034,6.6780654E-4
53,100000,16,23998726,6.6670205E-4
22,100000,16,24061707,6.649569E-4
42,100000,16,24107382,6.636971E-4
14,100000,16,24129494,6.630889E-4
41,100000,16,24189773,6.614366E-4
34,100000,16,24196850,6.612431E-4
26,100000,16,24199634,6.61167E-4
19,100000,16,24236124,6.6017156E-4
45,100000,16,24260584,6.59506E-4
32,100000,16,24308909,6.5819494E-4
4,100000,16,24326161,6.577282E-4
37,100000,16,24336689,6.574436E-4
9,100000,16,24345633,6.572021E-4
2,100000,16,24376334,6.563743E-4
5,100000,16,24425825,6.5504445E-4
1,100000,16,24428507,6.5497245E-4
35,100000,16,24448438,6.544385E-4
52,100000,16,24473786,6.537607E-4
59,100000,16,24498342,6.5310544E-4
39,100000,16,24512654,6.527241E-4
40,100000,16,24519965,6.525295E-4
21,100000,16,24532745,6.5218954E-4
62,100000,16,24559451,6.5148034E-4
57,100000,16,24574353,6.5108534E-4
25,100000,16,24595147,6.505348E-4
54,100000,16,24608318,6.501867E-4
13,100000,16,24645864,6.491961E-4
11,100000,16,24695428,6.4789323E-4
16,100000,16,24699954,6.477745E-4
49,100000,16,24714892,6.47383E-4
15,100000,16,24728078,6.4703776E-4
50,100000,16,24754773,6.4634E-4
3,100000,16,24758485,6.462431E-4
56,100000,16,24758634,6.462392E-4
