Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,1000,64,91836,0.69689447
6,1000,64,166812,0.38366544
7,1000,64,232313,0.2754904
16,1000,64,246728,0.25939497
5,1000,64,254126,0.25184357
3,1000,64,258202,0.24786796
8,1000,64,265451,0.24109912
2,1000,64,273232,0.23423319
10,1000,64,284361,0.22506602
4,1000,64,298298,0.21455055
9,1000,64,301170,0.21250457
14,1000,64,307343,0.2082364
15,1000,64,308181,0.20767017
13,1000,64,311049,0.20575537
11,1000,64,311142,0.20569387
1,1000,64,313050,0.20444019
