Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,100,16,400159,0.039984103
46,100,16,422074,0.037908044
23,100,16,661395,0.024191294
22,100,16,741871,0.021567091
47,100,16,1290107,0.012402072
5,100,16,1372375,0.011658621
48,100,16,1413362,0.011320525
8,100,16,1534719,0.010425361
44,100,16,1700468,0.009409174
34,100,16,1927917,0.008299112
10,100,16,1984485,0.008062545
21,100,16,2002105,0.007991589
29,100,16,2051026,0.0078009735
63,100,16,2078436,0.007698096
37,100,16,2098589,0.0076241703
49,100,16,2112324,0.0075745955
4,100,16,2127275,0.0075213592
16,100,16,2170849,0.007370388
38,100,16,2171429,0.00736842
62,100,16,2198496,0.0072777024
14,100,16,2307407,0.0069341906
20,100,16,2317097,0.006905192
30,100,16,2321328,0.0068926066
40,100,16,2335534,0.0068506817
61,100,16,2338163,0.006842979
11,100,16,2345429,0.0068217795
60,100,16,2351903,0.0068030017
59,100,16,2359233,0.006781865
19,100,16,2367534,0.006758087
13,100,16,2373243,0.0067418297
31,100,16,2374451,0.0067384
28,100,16,2381574,0.006718246
7,100,16,2382238,0.0067163734
55,100,16,2392110,0.0066886554
54,100,16,2394172,0.0066828947
53,100,16,2394689,0.0066814525
15,100,16,2394742,0.0066813044
58,100,16,2398205,0.0066716564
3,100,16,2402053,0.0066609685
2,100,16,2404421,0.0066544083
26,100,16,2409396,0.0066406685
6,100,16,2411501,0.0066348715
42,100,16,2412721,0.006631517
56,100,16,2416670,0.0066206804
43,100,16,2420910,0.006609085
57,100,16,2421125,0.0066084983
64,100,16,2426852,0.006592903
18,100,16,2431110,0.006581356
25,100,16,2433729,0.0065742736
1,100,16,2434542,0.006572078
45,100,16,2436541,0.0065666866
33,100,16,2437297,0.0065646493
9,100,16,2438633,0.006561053
52,100,16,2439017,0.0065600197
51,100,16,2440500,0.0065560336
17,100,16,2440438,0.0065562003
12,100,16,2441278,0.006553944
36,100,16,2441884,0.0065523176
50,100,16,2444248,0.006545981
27,100,16,2443962,0.0065467465
32,100,16,2444468,0.0065453914
35,100,16,2446022,0.006541233
39,100,16,2447560,0.0065371227
41,100,16,2448937,0.006533447
