Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,1000,16,392483,0.040766094
23,1000,16,612199,0.026135292
46,1000,16,657742,0.024325646
48,1000,16,1021281,0.015666598
47,1000,16,1047504,0.0152744055
22,1000,16,1398074,0.011444315
8,1000,16,2214616,0.007224729
29,1000,16,2436897,0.006565727
31,1000,16,2508826,0.006377485
54,1000,16,2516064,0.0063591385
45,1000,16,2521693,0.006344944
61,1000,16,2585605,0.0061881067
50,1000,16,2689148,0.00594984
40,1000,16,2824239,0.005665243
60,1000,16,2866967,0.0055808104
44,1000,16,2898820,0.0055194874
13,1000,16,2914586,0.0054896306
39,1000,16,2918763,0.0054817745
52,1000,16,2924308,0.00547138
64,1000,16,2944276,0.0054342733
16,1000,16,2948356,0.005426753
7,1000,16,2965556,0.0053952783
49,1000,16,2974892,0.0053783464
56,1000,16,2977527,0.0053735864
30,1000,16,2992991,0.005345823
18,1000,16,2993715,0.00534453
37,1000,16,3005551,0.005323483
28,1000,16,3006750,0.00532136
62,1000,16,3008470,0.005318318
58,1000,16,3022868,0.005292987
32,1000,16,3025352,0.005288641
5,1000,16,3026548,0.0052865506
10,1000,16,3044106,0.0052560586
11,1000,16,3049373,0.0052469806
4,1000,16,3051811,0.0052427887
12,1000,16,3058697,0.0052309856
57,1000,16,3069612,0.005212385
27,1000,16,3072164,0.0052080555
53,1000,16,3078900,0.005196661
38,1000,16,3093538,0.0051720715
26,1000,16,3107545,0.005148759
15,1000,16,3119492,0.00512904
36,1000,16,3124763,0.005120388
51,1000,16,3129809,0.005112133
9,1000,16,3132374,0.0051079467
25,1000,16,3133700,0.0051057856
42,1000,16,3133862,0.0051055215
17,1000,16,3136598,0.005101068
19,1000,16,3140256,0.005095126
21,1000,16,3141906,0.0050924504
43,1000,16,3150945,0.0050778417
59,1000,16,3150891,0.005077929
2,1000,16,3152433,0.005075445
6,1000,16,3156506,0.005068896
34,1000,16,3156842,0.005068356
41,1000,16,3159759,0.005063677
33,1000,16,3160959,0.005061755
63,1000,16,3161697,0.0050605736
55,1000,16,3163725,0.0050573293
20,1000,16,3167362,0.0050515225
35,1000,16,3168453,0.005049783
14,1000,16,3169636,0.0050478983
3,1000,16,3171660,0.005044677
1,1000,16,3172471,0.0050433874
