Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,100,32,56975,0.56164986
12,100,32,74542,0.42928818
11,100,32,161916,0.19763334
23,100,32,170870,0.18727687
13,100,32,214852,0.14893974
28,100,32,234525,0.136446
4,100,32,239586,0.13356374
14,100,32,247312,0.12939122
5,100,32,253436,0.12626463
20,100,32,259415,0.12335447
15,100,32,273161,0.11714703
6,100,32,292424,0.10943014
26,100,32,304331,0.105148666
21,100,32,320801,0.09975032
9,100,32,321023,0.09968133
25,100,32,329193,0.09720741
8,100,32,331687,0.096476495
19,100,32,334870,0.09555947
7,100,32,350087,0.091405846
30,100,32,351645,0.09100087
31,100,32,351658,0.09099751
17,100,32,356290,0.08981448
18,100,32,359878,0.08891902
10,100,32,361760,0.08845644
32,100,32,362532,0.08826807
2,100,32,364773,0.08772579
3,100,32,367558,0.08706109
16,100,32,367759,0.087013505
22,100,32,370487,0.0863728
29,100,32,370875,0.08628244
1,100,32,371777,0.0860731
