Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
45,10,16,152563,0.10487471
24,10,16,260659,0.061382882
48,10,16,388361,0.041198783
23,10,16,481026,0.033262238
22,10,16,604285,0.026477573
8,10,16,785859,0.020359887
13,10,16,805124,0.019872716
37,10,16,811703,0.019711643
44,10,16,891475,0.017947784
60,10,16,908954,0.017602652
21,10,16,938364,0.017050952
54,10,16,973001,0.016443972
49,10,16,1000507,0.015991893
5,10,16,1074856,0.014885715
29,10,16,1099624,0.014550428
36,10,16,1120308,0.014281787
46,10,16,1141736,0.014013747
18,10,16,1162487,0.013763594
47,10,16,1166041,0.013721645
16,10,16,1179168,0.013568889
35,10,16,1206248,0.0132642705
40,10,16,1208509,0.0132394545
56,10,16,1220963,0.01310441
4,10,16,1222994,0.013082649
39,10,16,1228911,0.013019658
38,10,16,1228629,0.013022645
15,10,16,1240230,0.012900833
17,10,16,1241375,0.0128889335
34,10,16,1241050,0.01289231
10,10,16,1242074,0.01288168
59,10,16,1244521,0.012856351
26,10,16,1246547,0.012835457
32,10,16,1248362,0.012816795
28,10,16,1255283,0.01274613
25,10,16,1256308,0.012735731
12,10,16,1256511,0.012733673
33,10,16,1264510,0.012653123
55,10,16,1264704,0.012651182
27,10,16,1268366,0.012614655
9,10,16,1271906,0.012579546
42,10,16,1272327,0.012575383
58,10,16,1275812,0.012541032
50,10,16,1279912,0.012500859
31,10,16,1283322,0.012467642
7,10,16,1285112,0.012450277
62,10,16,1287748,0.012424791
57,10,16,1288569,0.012416875
51,10,16,1288744,0.012415188
61,10,16,1294328,0.012361627
14,10,16,1299753,0.012310031
19,10,16,1302973,0.01227961
64,10,16,1304176,0.012268283
52,10,16,1305263,0.012258066
20,10,16,1306180,0.01224946
2,10,16,1309761,0.012215969
43,10,16,1310060,0.012213182
3,10,16,1310524,0.012208857
6,10,16,1310580,0.012208336
30,10,16,1311101,0.012203484
11,10,16,1314156,0.012175115
63,10,16,1313991,0.012176643
53,10,16,1313844,0.012178006
1,10,16,1315325,0.012164295
41,10,16,1314850,0.012168688
