Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
23,100000,32,2053000,0.015586945
17,100000,32,2223949,0.014388819
2,100000,32,2228875,0.014357018
24,100000,32,2517513,0.012710957
11,100000,32,2578325,0.0124111585
25,100000,32,2645200,0.012097384
30,100000,32,2675829,0.01195891
12,100000,32,2949644,0.010848766
16,100000,32,2980011,0.010738215
10,100000,32,3119252,0.01025887
31,100000,32,3341571,0.009576335
7,100000,32,3374093,0.00948403
14,100000,32,3378419,0.009471886
13,100000,32,3556924,0.008996538
6,100000,32,3597084,0.008896095
5,100000,32,3716662,0.008609876
26,100000,32,3774077,0.008478895
18,100000,32,3817512,0.008382423
21,100000,32,3829453,0.008356284
9,100000,32,3896105,0.008213331
4,100000,32,3903530,0.008197709
8,100000,32,3916223,0.008171138
22,100000,32,3918646,0.008166086
3,100000,32,3992362,0.008015305
32,100000,32,4039979,0.007920833
15,100000,32,4060421,0.007880956
29,100000,32,4069796,0.007862802
19,100000,32,4070260,0.007861906
27,100000,32,4137151,0.0077347914
28,100000,32,4175838,0.007663132
20,100000,32,4191770,0.0076340064
1,100000,32,4196603,0.0076252148
