Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,100000,64,1071643,0.05972138
6,100000,64,1189757,0.053792495
5,100000,64,1458786,0.043872096
15,100000,64,1509918,0.04238641
16,100000,64,1817784,0.035207704
4,100000,64,1825681,0.03505541
9,100000,64,1901444,0.03365863
3,100000,64,1910106,0.03350599
10,100000,64,1910586,0.03349758
13,100000,64,1991496,0.032136645
2,100000,64,1991955,0.03212924
8,100000,64,2062986,0.031022992
1,100000,64,2166401,0.029542083
7,100000,64,2176558,0.029404223
14,100000,64,2269307,0.028202442
11,100000,64,2282901,0.028034505
