Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,10000,64,140962,0.45402306
6,10000,64,159582,0.40104774
14,10000,64,356241,0.17965367
9,10000,64,378748,0.16897778
15,10000,64,400073,0.1599708
10,10000,64,409313,0.15635955
11,10000,64,446003,0.1434968
16,10000,64,447333,0.14307015
13,10000,64,465668,0.13743697
7,10000,64,471248,0.13580959
8,10000,64,516088,0.12400986
2,10000,64,554093,0.11550407
4,10000,64,568848,0.11250809
1,10000,64,569054,0.112467356
5,10000,64,571296,0.11202599
3,10000,64,582992,0.10977852
