Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,10,32,49565,0.6456168
11,10,32,70597,0.45327705
24,10,32,75101,0.42609286
23,10,32,98369,0.32530573
21,10,32,143087,0.22364016
3,10,32,153688,0.20821404
5,10,32,162138,0.19736274
13,10,32,169498,0.1887928
22,10,32,173048,0.18491979
30,10,32,172979,0.18499355
14,10,32,182653,0.17519559
8,10,32,185217,0.17277032
20,10,32,185432,0.17257
17,10,32,188745,0.16954091
19,10,32,205307,0.15586413
15,10,32,208103,0.15377
28,10,32,208171,0.15371978
6,10,32,210905,0.15172708
27,10,32,212440,0.15063076
2,10,32,212710,0.15043956
10,10,32,219781,0.14559948
18,10,32,220463,0.14514907
31,10,32,220768,0.14494854
1,10,32,224224,0.14271443
9,10,32,227161,0.14086924
7,10,32,228264,0.14018856
32,10,32,229103,0.13967516
29,10,32,230230,0.13899145
16,10,32,231725,0.13809472
25,10,32,231890,0.13799646
4,10,32,234388,0.13652577
26,10,32,234621,0.13639018
