Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,10000,32,183781,0.17412029
24,10000,32,214685,0.14905559
11,10000,32,297710,0.10748716
28,10000,32,438027,0.07305486
23,10000,32,481460,0.066464506
9,10000,32,633599,0.050505128
14,10000,32,636580,0.050268624
6,10000,32,644522,0.049649194
8,10000,32,667041,0.047973063
30,10000,32,682083,0.046915114
29,10000,32,696890,0.045918297
16,10000,32,710439,0.04504257
10,10000,32,714335,0.04479691
26,10000,32,752230,0.04254018
20,10000,32,757428,0.04224824
15,10000,32,766703,0.04173715
2,10000,32,785688,0.040728636
18,10000,32,835496,0.0383006
19,10000,32,847741,0.037747376
25,10000,32,869648,0.036796495
27,10000,32,872793,0.03666391
13,10000,32,892220,0.035865594
4,10000,32,908238,0.035233058
32,10000,32,909071,0.03520077
31,10000,32,934975,0.034225516
17,10000,32,937398,0.034137048
21,10000,32,937726,0.03412511
1,10000,32,950491,0.03366681
7,10000,32,950863,0.03365364
22,10000,32,950784,0.033656433
3,10000,32,954958,0.03350933
5,10000,32,959487,0.033351157
