Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,1000,32,96559,0.3314036
12,1000,32,121598,0.26316223
11,1000,32,132174,0.2421051
23,1000,32,206983,0.15460207
6,1000,32,280980,0.11388711
17,1000,32,309493,0.10339491
20,1000,32,328893,0.09729608
5,1000,32,331904,0.096413426
14,1000,32,336078,0.09521599
32,1000,32,364127,0.08788142
22,1000,32,365658,0.08751347
28,1000,32,372577,0.08588828
19,1000,32,372893,0.085815504
16,1000,32,410529,0.077948205
21,1000,32,415688,0.07698081
10,1000,32,423688,0.07552728
13,1000,32,433193,0.07387008
25,1000,32,436521,0.073306896
29,1000,32,457676,0.06991846
31,1000,32,458557,0.06978413
2,1000,32,462323,0.06921568
18,1000,32,474793,0.067397796
9,1000,32,480275,0.06662849
8,1000,32,484814,0.06600469
4,1000,32,489032,0.065435395
3,1000,32,492480,0.06497726
26,1000,32,494484,0.064713925
15,1000,32,496262,0.06448207
30,1000,32,497203,0.06436003
7,1000,32,498311,0.06421693
27,1000,32,498717,0.064164646
1,1000,32,499905,0.06401216
