Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
23,10000,16,973396,0.016437298
24,10000,16,1210016,0.013222965
46,10000,16,2469586,0.0064788186
22,10000,16,2513090,0.0063666645
45,10000,16,2530864,0.0063219517
48,10000,16,2559599,0.0062509794
9,10000,16,2922020,0.005475664
41,10000,16,3133198,0.0051066037
7,10000,16,3682942,0.004344353
44,10000,16,3780918,0.0042317766
54,10000,16,4083264,0.0039184336
29,10000,16,4345061,0.003682342
42,10000,16,4355532,0.0036734894
47,10000,16,4413200,0.0036254872
34,10000,16,4518518,0.003540984
11,10000,16,4527873,0.003533668
26,10000,16,4552690,0.0035144058
13,10000,16,4584001,0.0034904005
33,10000,16,4710804,0.003396448
10,10000,16,4733276,0.0033803226
32,10000,16,4750511,0.0033680587
55,10000,16,4786795,0.0033425288
60,10000,16,4851706,0.003297809
5,10000,16,4861011,0.0032914963
39,10000,16,4901644,0.0032642111
51,10000,16,4984819,0.0032097455
63,10000,16,5039202,0.003175106
19,10000,16,5044248,0.0031719296
31,10000,16,5088997,0.003144038
50,10000,16,5104977,0.0031341964
30,10000,16,5120749,0.003124543
37,10000,16,5124670,0.0031221523
28,10000,16,5127072,0.0031206897
27,10000,16,5135305,0.0031156864
20,10000,16,5136501,0.0031149609
17,10000,16,5138157,0.0031139571
53,10000,16,5141965,0.0031116507
6,10000,16,5160382,0.0031005456
25,10000,16,5172997,0.0030929847
21,10000,16,5187205,0.003084513
12,10000,16,5192836,0.003081168
52,10000,16,5193919,0.0030805254
16,10000,16,5199957,0.0030769487
8,10000,16,5204284,0.00307439
57,10000,16,5215699,0.0030676618
40,10000,16,5218267,0.0030661519
56,10000,16,5228088,0.003060392
2,10000,16,5229897,0.0030593337
38,10000,16,5245072,0.0030504826
14,10000,16,5258252,0.0030428364
43,10000,16,5259714,0.0030419906
15,10000,16,5275005,0.0030331726
4,10000,16,5277841,0.0030315425
58,10000,16,5280701,0.0030299006
18,10000,16,5289444,0.0030248924
61,10000,16,5291739,0.0030235809
49,10000,16,5298019,0.0030199967
3,10000,16,5299886,0.0030189329
62,10000,16,5309237,0.0030136157
64,10000,16,5310870,0.003012689
1,10000,16,5315911,0.0030098322
36,10000,16,5316373,0.0030095708
59,10000,16,5321858,0.003006469
35,10000,16,5322797,0.0030059384
